Date,Time,VM4T_E_Irrad.Global_Avg,VM4T_E_Irrad.Difusa_Avg,VM4T_E_T.Amb_Avg,VM4T_E_Hum.Rel_Avg,VM4T_E_P.Rocio_Avg,VM4T_E_Vel.viento_Avg,VM4T_E_Dir.viento_Avg,VM4T_E_P.atm_Avg,VM4T_E_Precip_Avg,VM4T_E_Precip.int_Avg,VM4T_IO_Irrad.RT1_Avg,VM4T_IO_Temp.RT1_Avg
31.10.2022,00:00:00,-2.684,-1.520,12.900,88.427,11.027,0.600,0.464,1011.473,0.000,0.000,---,---
31.10.2022,00:01:00,-2.742,-1.495,12.900,88.553,11.100,0.600,0.468,1011.399,0.000,0.000,---,---
31.10.2022,00:02:00,-2.694,-1.431,12.900,88.727,11.100,0.600,0.483,1011.399,0.000,0.000,---,---
31.10.2022,00:03:00,-2.555,-1.321,12.900,88.827,11.100,0.600,0.508,1011.399,0.000,0.000,---,---
31.10.2022,00:04:00,-2.444,-1.197,12.900,88.927,11.100,0.600,0.544,1011.399,0.000,0.000,---,---
31.10.2022,00:05:00,-2.321,-1.124,12.900,89.000,11.100,0.635,0.585,1011.373,0.000,0.000,---,---
31.10.2022,00:06:00,-2.309,-1.077,12.900,89.000,11.100,0.700,0.606,1011.301,0.000,0.000,---,---
31.10.2022,00:07:00,-2.263,-1.041,12.900,89.000,11.100,0.753,0.589,1011.301,0.000,0.000,---,---
31.10.2022,00:08:00,-2.277,-1.051,12.873,89.027,11.100,0.800,0.564,1011.301,0.000,0.000,---,---
31.10.2022,00:09:00,-2.287,-1.073,12.800,89.100,11.100,0.872,0.543,1011.301,0.000,0.000,---,---
31.10.2022,00:10:00,-2.327,-1.102,12.800,89.127,11.100,0.900,0.523,1011.273,0.000,0.000,---,---
31.10.2022,00:11:00,-2.328,-1.124,12.800,89.227,11.100,0.900,0.503,1011.200,0.000,0.000,---,---
31.10.2022,00:12:00,-2.257,-1.088,12.800,89.300,11.100,0.998,0.483,1011.200,0.000,0.000,---,---
31.10.2022,00:13:00,-2.225,-1.066,12.800,89.327,11.100,1.000,0.460,1011.200,0.000,0.000,---,---
31.10.2022,00:14:00,-2.218,-1.049,12.773,89.400,11.073,1.000,0.439,1011.200,0.000,0.000,---,---
31.10.2022,00:15:00,-2.259,-1.041,12.700,89.427,11.000,1.000,0.429,1011.174,0.000,0.000,---,---
31.10.2022,00:16:00,-2.278,-1.048,12.700,89.553,11.000,0.955,0.427,1011.101,0.000,0.000,---,---
31.10.2022,00:17:00,-2.265,-1.044,12.673,89.727,11.000,0.900,0.424,1011.101,0.000,0.000,---,---
31.10.2022,00:18:00,-2.264,-1.033,12.600,89.827,11.000,0.900,0.420,1011.101,0.000,0.000,---,---
31.10.2022,00:19:00,-2.291,-1.059,12.600,89.927,11.000,0.900,0.417,1011.101,0.000,0.000,---,---
31.10.2022,00:20:00,-2.286,-1.081,12.573,90.027,11.000,0.900,0.420,1011.074,0.000,0.000,---,---
31.10.2022,00:21:00,-2.278,-1.086,12.500,90.127,11.000,0.900,0.427,1011.000,0.000,0.000,---,---
31.10.2022,00:22:00,-2.288,-1.084,12.500,90.227,11.000,0.800,0.434,1011.000,0.000,0.000,---,---
31.10.2022,00:23:00,-2.270,-1.091,12.500,90.327,10.973,0.800,0.439,1011.000,0.000,0.000,---,---
31.10.2022,00:24:00,-2.264,-1.081,12.473,90.427,10.900,0.800,0.447,1011.000,0.000,0.000,---,---
31.10.2022,00:25:00,-2.274,-1.075,12.400,90.527,10.900,0.800,0.458,1010.973,0.000,0.000,---,---
31.10.2022,00:26:00,-2.266,-1.112,12.400,90.627,10.900,0.800,0.465,1010.899,0.000,0.000,---,---
31.10.2022,00:27:00,-2.264,-1.133,12.400,90.753,10.900,0.800,0.469,1010.899,0.000,0.000,---,---
31.10.2022,00:28:00,-2.286,-1.180,12.400,90.927,10.900,0.735,0.474,1010.899,0.000,0.000,---,---
31.10.2022,00:29:00,-2.349,-1.240,12.400,91.027,10.900,0.700,0.479,1010.899,0.000,0.000,---,---
31.10.2022,00:30:00,-2.417,-1.283,12.373,91.100,10.900,0.617,0.483,1010.873,0.000,0.000,---,---
31.10.2022,00:31:00,-2.457,-1.305,12.300,91.100,10.900,0.600,0.488,1010.801,0.000,0.000,---,---
31.10.2022,00:32:00,-2.469,-1.312,12.300,91.100,10.900,0.600,0.517,1010.801,0.000,0.000,---,---
31.10.2022,00:33:00,-2.480,-1.261,12.300,91.127,10.900,0.580,0.542,1010.801,0.000,0.000,---,---
31.10.2022,00:34:00,-2.500,-1.255,12.300,91.200,10.900,0.472,0.567,1010.801,0.000,0.000,---,---
31.10.2022,00:35:00,-2.564,-1.268,12.300,91.200,10.900,0.400,0.597,1010.801,0.000,0.000,---,---
31.10.2022,00:36:00,-2.602,-1.295,12.273,91.200,10.900,0.400,0.627,1010.773,0.000,0.000,---,---
31.10.2022,00:37:00,-2.640,-1.301,12.200,91.200,10.873,0.400,0.648,1010.700,0.000,0.000,---,---
31.10.2022,00:38:00,-2.645,-1.309,12.200,91.173,10.800,0.467,0.604,1010.700,0.000,0.000,---,---
31.10.2022,00:39:00,-2.572,-1.319,12.173,91.127,10.773,0.500,0.522,1010.700,0.000,0.000,---,---
31.10.2022,00:40:00,-2.552,-1.365,12.100,91.227,10.700,0.500,0.506,1010.700,0.000,0.000,---,---
